# Temperature	frequency	data
4.760000000000000142e+01	6.309600000000000364e+02	3.192180640876063347e-04
4.760000000000000142e+01	5.011899999999999977e+02	4.816266978075953165e-04
4.760000000000000142e+01	3.981100000000000136e+02	5.956361826574448071e-04
4.760000000000000142e+01	3.162300000000000182e+02	6.768118522023497396e-04
4.760000000000000142e+01	2.511899999999999977e+02	7.363849837251426611e-04
4.760000000000000142e+01	1.995300000000000011e+02	7.309890366101155779e-04
4.760000000000000142e+01	1.584900000000000091e+02	7.286678718168605740e-04
4.760000000000000142e+01	1.258900000000000006e+02	7.080055388122424853e-04
4.760000000000000142e+01	1.000000000000000000e+02	6.810889236511623313e-04
4.760000000000000142e+01	7.943300000000000693e+01	6.433308607605957297e-04
4.760000000000000142e+01	6.309599999999999653e+01	6.121111603477683016e-04
4.760000000000000142e+01	5.011899999999999977e+01	5.975916257150784561e-04
4.760000000000000142e+01	3.981099999999999994e+01	5.480087863904865852e-04
4.760000000000000142e+01	3.162300000000000111e+01	5.020522087009864076e-04
4.760000000000000142e+01	2.511899999999999977e+01	4.815201183110892624e-04
4.760000000000000142e+01	1.995299999999999940e+01	4.744124132439984931e-04
4.760000000000000142e+01	1.584900000000000020e+01	4.495608477602872077e-04
4.760000000000000142e+01	1.258900000000000041e+01	4.687151896281549490e-04
4.760000000000000142e+01	1.000000000000000000e+01	4.609040305701798956e-04
4.760000000000000142e+01	7.943299999999999805e+00	4.546419434896739609e-04
4.760000000000000142e+01	6.309599999999999653e+00	3.750700204636255031e-04
4.760000000000000142e+01	5.011899999999999800e+00	4.406683775897354827e-04
4.760000000000000142e+01	3.981100000000000083e+00	5.066579541431887046e-04
4.760000000000000142e+01	3.162300000000000111e+00	5.189621107343361794e-04
4.760000000000000142e+01	2.511899999999999800e+00	5.151242367570849079e-04
4.760000000000000142e+01	1.995300000000000074e+00	5.749363733230442031e-04
4.760000000000000142e+01	1.584899999999999975e+00	6.038257592963780507e-04
4.760000000000000142e+01	1.258899999999999908e+00	6.557612594738290723e-04
4.760000000000000142e+01	1.000000000000000000e+00	7.336249567542439676e-04
4.760000000000000142e+01	7.943299999999999805e-01	8.550467414335932714e-04
4.760000000000000142e+01	6.309599999999999653e-01	9.992723147880036572e-04
4.760000000000000142e+01	5.011900000000000244e-01	1.095275526727727128e-03
4.760000000000000142e+01	3.981100000000000194e-01	1.192993517585023283e-03
4.760000000000000142e+01	3.162300000000000111e-01	1.393204824578862105e-03
4.760000000000000142e+01	2.511900000000000244e-01	1.702111432157520782e-03
4.760000000000000142e+01	1.995300000000000129e-01	1.911020582965206743e-03
4.760000000000000142e+01	1.584899999999999920e-01	2.392210373925739847e-03
4.760000000000000142e+01	1.258900000000000019e-01	2.611621679778179661e-03
4.760000000000000142e+01	1.000000000000000056e-01	3.216889950711062512e-03
5.510000000000000142e+01	1.000000000000000000e+03	-2.852524996143877833e-04
5.510000000000000142e+01	7.943300000000000409e+02	-2.916861063233938678e-05
5.510000000000000142e+01	6.309600000000000364e+02	1.529460912892965929e-04
5.510000000000000142e+01	5.011899999999999977e+02	2.853403267365321738e-04
5.510000000000000142e+01	3.981100000000000136e+02	3.756962165087189554e-04
5.510000000000000142e+01	3.162300000000000182e+02	4.302084337613060194e-04
5.510000000000000142e+01	2.511899999999999977e+02	4.399480007992312425e-04
5.510000000000000142e+01	1.995300000000000011e+02	4.616008279051779517e-04
5.510000000000000142e+01	1.584900000000000091e+02	4.458380889448415596e-04
5.510000000000000142e+01	1.258900000000000006e+02	4.431588732741256753e-04
5.510000000000000142e+01	1.000000000000000000e+02	4.132684813752673936e-04
5.510000000000000142e+01	7.943300000000000693e+01	3.963286859367184944e-04
5.510000000000000142e+01	6.309599999999999653e+01	3.648515693261515647e-04
5.510000000000000142e+01	5.011899999999999977e+01	3.568282536763854595e-04
5.510000000000000142e+01	3.981099999999999994e+01	3.342804325016345002e-04
5.510000000000000142e+01	3.162300000000000111e+01	3.098796998157668514e-04
5.510000000000000142e+01	2.511899999999999977e+01	3.277690160163708455e-04
5.510000000000000142e+01	1.995299999999999940e+01	3.318391851265291292e-04
5.510000000000000142e+01	1.584900000000000020e+01	3.134404175365070044e-04
5.510000000000000142e+01	1.258900000000000041e+01	3.215746755634608933e-04
5.510000000000000142e+01	1.000000000000000000e+01	3.350945213713880932e-04
5.510000000000000142e+01	7.943299999999999805e+00	3.781610779970447089e-04
5.510000000000000142e+01	6.309599999999999653e+00	3.755923395523767805e-04
5.510000000000000142e+01	5.011899999999999800e+00	3.865028777466292254e-04
5.510000000000000142e+01	3.981100000000000083e+00	4.336088912048653710e-04
5.510000000000000142e+01	3.162300000000000111e+00	4.588202679790542859e-04
5.510000000000000142e+01	2.511899999999999800e+00	4.645375205513217753e-04
5.510000000000000142e+01	1.995300000000000074e+00	5.136945513610352565e-04
5.510000000000000142e+01	1.584899999999999975e+00	5.660034534997956945e-04
5.510000000000000142e+01	1.258899999999999908e+00	6.221170096751098277e-04
5.510000000000000142e+01	1.000000000000000000e+00	7.307185686368372624e-04
5.510000000000000142e+01	7.943299999999999805e-01	7.758019230492858853e-04
5.510000000000000142e+01	6.309599999999999653e-01	8.884920148953222296e-04
5.510000000000000142e+01	5.011900000000000244e-01	9.556808359486128335e-04
5.510000000000000142e+01	3.981100000000000194e-01	1.066117550185503166e-03
5.510000000000000142e+01	3.162300000000000111e-01	1.328073954512613841e-03
5.510000000000000142e+01	2.511900000000000244e-01	1.501160312596439700e-03
5.510000000000000142e+01	1.995300000000000129e-01	1.741683653738876347e-03
5.510000000000000142e+01	1.584899999999999920e-01	2.077825196372676958e-03
5.510000000000000142e+01	1.258900000000000019e-01	2.470243839626296012e-03
5.510000000000000142e+01	1.000000000000000056e-01	2.838119611545800169e-03
6.450000000000000000e+01	1.000000000000000000e+03	-6.593709940301249739e-04
6.450000000000000000e+01	7.943300000000000409e+02	-3.501457622680191617e-04
6.450000000000000000e+01	6.309600000000000364e+02	-1.303364290364053546e-04
6.450000000000000000e+01	5.011899999999999977e+02	2.061248648328045663e-05
6.450000000000000000e+01	3.981100000000000136e+02	1.186542159835532462e-04
6.450000000000000000e+01	3.162300000000000182e+02	1.932537885381696574e-04
6.450000000000000000e+01	2.511899999999999977e+02	2.554595757688279956e-04
6.450000000000000000e+01	1.995300000000000011e+02	2.726037530178457291e-04
6.450000000000000000e+01	1.584900000000000091e+02	2.668076066408391067e-04
6.450000000000000000e+01	1.258900000000000006e+02	2.648079360817769123e-04
6.450000000000000000e+01	1.000000000000000000e+02	2.400267012120996246e-04
6.450000000000000000e+01	7.943300000000000693e+01	2.375736000221548294e-04
6.450000000000000000e+01	6.309599999999999653e+01	2.365242452511198690e-04
6.450000000000000000e+01	5.011899999999999977e+01	2.382954215361422767e-04
6.450000000000000000e+01	3.981099999999999994e+01	2.270835084232890322e-04
6.450000000000000000e+01	3.162300000000000111e+01	2.012845530066781352e-04
6.450000000000000000e+01	2.511899999999999977e+01	2.128857081240137505e-04
6.450000000000000000e+01	1.995299999999999940e+01	2.633512981550859000e-04
6.450000000000000000e+01	1.584900000000000020e+01	2.894787444849590552e-04
6.450000000000000000e+01	1.258900000000000041e+01	2.477847492748826153e-04
6.450000000000000000e+01	1.000000000000000000e+01	2.933655733426826506e-04
6.450000000000000000e+01	7.943299999999999805e+00	3.175371835144845389e-04
6.450000000000000000e+01	6.309599999999999653e+00	3.037334956339891867e-04
6.450000000000000000e+01	5.011899999999999800e+00	3.463543210960005891e-04
6.450000000000000000e+01	3.981100000000000083e+00	3.596222035797749794e-04
6.450000000000000000e+01	3.162300000000000111e+00	4.325106341478736349e-04
6.450000000000000000e+01	2.511899999999999800e+00	4.365099347018487619e-04
6.450000000000000000e+01	1.995300000000000074e+00	4.427695275767244698e-04
6.450000000000000000e+01	1.584899999999999975e+00	4.438829761152333908e-04
6.450000000000000000e+01	1.258899999999999908e+00	6.187560024733841646e-04
6.450000000000000000e+01	1.000000000000000000e+00	6.784488593492427055e-04
6.450000000000000000e+01	7.943299999999999805e-01	7.144814101719722255e-04
6.450000000000000000e+01	6.309599999999999653e-01	8.530129527170131343e-04
6.450000000000000000e+01	5.011900000000000244e-01	9.190290235681838893e-04
6.450000000000000000e+01	3.981100000000000194e-01	1.058728331588917881e-03
6.450000000000000000e+01	3.162300000000000111e-01	1.166412353621491815e-03
6.450000000000000000e+01	2.511900000000000244e-01	1.336651888853637726e-03
6.450000000000000000e+01	1.995300000000000129e-01	1.564035505544295740e-03
6.450000000000000000e+01	1.584899999999999920e-01	1.787227253565181612e-03
6.450000000000000000e+01	1.258900000000000019e-01	2.079329448979431311e-03
6.450000000000000000e+01	1.000000000000000056e-01	2.449997335944500282e-03
7.159999999999999432e+01	1.000000000000000000e+03	-8.433140067893862835e-04
7.159999999999999432e+01	7.943300000000000409e+02	-5.410541315998100564e-04
7.159999999999999432e+01	6.309600000000000364e+02	-3.275904324951603441e-04
7.159999999999999432e+01	5.011899999999999977e+02	-1.779922922257037854e-04
7.159999999999999432e+01	3.981100000000000136e+02	-6.159328907285113730e-05
7.159999999999999432e+01	3.162300000000000182e+02	1.596638945849590541e-05
7.159999999999999432e+01	2.511899999999999977e+02	8.391042998908901374e-05
7.159999999999999432e+01	1.995300000000000011e+02	1.046928030744090354e-04
7.159999999999999432e+01	1.584900000000000091e+02	1.233439292471910642e-04
7.159999999999999432e+01	1.258900000000000006e+02	1.445771103473318664e-04
7.159999999999999432e+01	1.000000000000000000e+02	1.276014839756700603e-04
7.159999999999999432e+01	7.943300000000000693e+01	1.341472680607795620e-04
7.159999999999999432e+01	6.309599999999999653e+01	1.288014203732756879e-04
7.159999999999999432e+01	5.011899999999999977e+01	1.457400324802113345e-04
7.159999999999999432e+01	3.981099999999999994e+01	1.345229490341930123e-04
7.159999999999999432e+01	3.162300000000000111e+01	1.342352851623658527e-04
7.159999999999999432e+01	2.511899999999999977e+01	1.447957232920092652e-04
7.159999999999999432e+01	1.995299999999999940e+01	1.944152884692865180e-04
7.159999999999999432e+01	1.584900000000000020e+01	1.960241716245265942e-04
7.159999999999999432e+01	1.258900000000000041e+01	2.022966429271084998e-04
7.159999999999999432e+01	1.000000000000000000e+01	2.554644750106596640e-04
7.159999999999999432e+01	7.943299999999999805e+00	2.631559645498333933e-04
7.159999999999999432e+01	6.309599999999999653e+00	3.227309131466071790e-04
7.159999999999999432e+01	5.011899999999999800e+00	3.610462146557309737e-04
7.159999999999999432e+01	3.981100000000000083e+00	4.055717005394636476e-04
7.159999999999999432e+01	3.162300000000000111e+00	4.168894828387066653e-04
7.159999999999999432e+01	2.511899999999999800e+00	4.579413298356690976e-04
7.159999999999999432e+01	1.995300000000000074e+00	4.858431617863791241e-04
7.159999999999999432e+01	1.584899999999999975e+00	5.668407678587582266e-04
7.159999999999999432e+01	1.258899999999999908e+00	5.843727088028424776e-04
7.159999999999999432e+01	1.000000000000000000e+00	6.429812617565928978e-04
7.159999999999999432e+01	7.943299999999999805e-01	7.469559486154818406e-04
7.159999999999999432e+01	6.309599999999999653e-01	7.709936143494959537e-04
7.159999999999999432e+01	5.011900000000000244e-01	8.375191487945514435e-04
7.159999999999999432e+01	3.981100000000000194e-01	9.259028144821476736e-04
7.159999999999999432e+01	3.162300000000000111e-01	1.142368556104982752e-03
7.159999999999999432e+01	2.511900000000000244e-01	1.206562548915022376e-03
7.159999999999999432e+01	1.995300000000000129e-01	1.409934758911993852e-03
7.159999999999999432e+01	1.584899999999999920e-01	1.614998342512909829e-03
7.159999999999999432e+01	1.258900000000000019e-01	1.925560730458002884e-03
7.159999999999999432e+01	1.000000000000000056e-01	2.234000817258413596e-03
8.040000000000000568e+01	1.000000000000000000e+03	-1.385854198822453892e-03
8.040000000000000568e+01	7.943300000000000409e+02	-1.018622436472264858e-03
8.040000000000000568e+01	6.309600000000000364e+02	-7.367896511351924860e-04
8.040000000000000568e+01	5.011899999999999977e+02	-5.205165008591444709e-04
8.040000000000000568e+01	3.981100000000000136e+02	-3.096911057356814545e-04
8.040000000000000568e+01	3.162300000000000182e+02	-1.932268211300679217e-04
8.040000000000000568e+01	2.511899999999999977e+02	-1.165171062427472481e-04
8.040000000000000568e+01	1.995300000000000011e+02	-5.473392800881687892e-05
8.040000000000000568e+01	1.584900000000000091e+02	-2.932767885912776484e-05
8.040000000000000568e+01	1.258900000000000006e+02	4.778181999211261743e-06
8.040000000000000568e+01	1.000000000000000000e+02	2.131514171306234107e-05
8.040000000000000568e+01	7.943300000000000693e+01	2.131689847870849031e-05
8.040000000000000568e+01	6.309599999999999653e+01	4.273684696911098091e-05
8.040000000000000568e+01	5.011899999999999977e+01	3.278676069542324489e-05
8.040000000000000568e+01	3.981099999999999994e+01	3.244587603296392175e-05
8.040000000000000568e+01	3.162300000000000111e+01	3.757151213934148415e-05
8.040000000000000568e+01	2.511899999999999977e+01	5.776171236195060121e-05
8.040000000000000568e+01	1.995299999999999940e+01	1.174724453242743938e-04
8.040000000000000568e+01	1.584900000000000020e+01	1.273910018774332409e-04
8.040000000000000568e+01	1.258900000000000041e+01	1.616082131718384052e-04
8.040000000000000568e+01	1.000000000000000000e+01	2.029651569673621148e-04
8.040000000000000568e+01	7.943299999999999805e+00	2.636401512447206219e-04
8.040000000000000568e+01	6.309599999999999653e+00	2.522556976169328113e-04
8.040000000000000568e+01	5.011899999999999800e+00	3.048981928919537732e-04
8.040000000000000568e+01	3.981100000000000083e+00	3.361765058574120446e-04
8.040000000000000568e+01	3.162300000000000111e+00	4.828531279043209168e-04
8.040000000000000568e+01	2.511899999999999800e+00	4.326229187324379111e-04
8.040000000000000568e+01	1.995300000000000074e+00	4.250491335535330761e-04
8.040000000000000568e+01	1.584899999999999975e+00	4.893148182180812045e-04
8.040000000000000568e+01	1.258899999999999908e+00	5.346163916671933802e-04
8.040000000000000568e+01	1.000000000000000000e+00	5.125501740272687956e-04
8.040000000000000568e+01	7.943299999999999805e-01	5.698893224932201351e-04
8.040000000000000568e+01	6.309599999999999653e-01	7.037349574528645180e-04
8.040000000000000568e+01	5.011900000000000244e-01	7.448623009230076475e-04
8.040000000000000568e+01	3.981100000000000194e-01	8.335626987983034419e-04
8.040000000000000568e+01	3.162300000000000111e-01	8.300693841692095842e-04
8.040000000000000568e+01	2.511900000000000244e-01	1.065685893523338895e-03
8.040000000000000568e+01	1.995300000000000129e-01	1.257746649980080733e-03
8.040000000000000568e+01	1.584899999999999920e-01	1.446478981171381295e-03
8.040000000000000568e+01	1.258900000000000019e-01	1.690039783218171693e-03
8.040000000000000568e+01	1.000000000000000056e-01	2.071458619541811930e-03
